relative_time_s,lord_x_g,lord_y_g,prototype_calibrated_to_lord_y_g,lord_z_g,prototype_calibrated_to_lord_z_g,lord_x_norm,lord_y_norm,prototype_y_norm,lord_z_norm,prototype_z_norm,our_y_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
0.960,0.993066854,0.096053031,0.097538295,0.005254682,0.001057640,0.144394348,-0.015501808,-0.014325912,-0.034587570,-0.077415333,-30,46,2026-05-03T23:57:12.537Z,2026-05-03 19:57:12.537,102629,39
1.000,0.992160201,0.098661870,0.097329428,-0.002207994,0.002372263,0.130851314,-0.005848845,-0.015432373,-0.069025514,-0.068711024,-33,53,2026-05-03T23:57:12.577Z,2026-05-03 19:57:12.577,102629,40
1.040,0.991745911,0.102895718,0.094804707,0.011829194,0.007335424,0.124662896,0.009816816,-0.028806971,-0.004248226,-0.035849231,-54,81,2026-05-03T23:57:12.617Z,2026-05-03 19:57:12.617,102629,41
1.080,0.991768394,0.097147961,0.091023178,0.008326970,0.010148658,0.124998732,-0.011450459,-0.048839447,-0.020409910,-0.017222411,-79,99,2026-05-03T23:57:12.657Z,2026-05-03 19:57:12.657,102629,42
1.120,0.993324964,0.091545452,0.093469670,0.013042117,0.008453159,0.148249832,-0.032180300,-0.035879269,0.001349039,-0.028448549,-63,88,2026-05-03T23:57:12.697Z,2026-05-03 19:57:12.697,102629,43
1.160,0.993298063,0.090859574,0.095158926,0.013310289,0.008748492,0.147848004,-0.034718119,-0.026930513,0.002586568,-0.026493109,-54,88,2026-05-03T23:57:12.737Z,2026-05-03 19:57:12.737,102629,44
1.200,0.992928791,0.095251079,0.100342614,0.013347194,0.010812877,0.142332041,-0.018469112,0.000529838,0.002756873,-0.012824524,-28,94,2026-05-03T23:57:12.777Z,2026-05-03 19:57:12.777,102629,45
1.240,0.992256408,0.099178914,0.096363326,0.012973845,0.005677718,0.132288390,-0.003935730,-0.020550258,0.001033982,-0.046825136,-43,71,2026-05-03T23:57:12.817Z,2026-05-03 19:57:12.817,102629,46
1.280,0.990284927,0.102178174,0.084119000,0.007187240,0.001220801,0.102839614,0.007161833,-0.085414022,-0.025669410,-0.076335017,-105,59,2026-05-03T23:57:12.857Z,2026-05-03 19:57:12.857,102629,47
1.320,0.992554474,0.093748344,0.056633681,0.008934662,-0.010340159,0.136740720,-0.024029379,-0.231016250,-0.017605600,-0.152881781,-242,24,2026-05-03T23:57:12.897Z,2026-05-03 19:57:12.897,102629,48
1.360,1.000323625,0.057474186,0.017886659,0.010944104,-0.023870006,0.252791548,-0.158247386,-0.436276845,-0.008332646,-0.242464816,-439,-11,2026-05-03T23:57:12.937Z,2026-05-03 19:57:12.937,102629,49
1.400,1.001374054,0.021787216,-0.017093550,-0.012913337,-0.040987739,0.268482220,-0.290292738,-0.621582920,-0.118427360,-0.355803756,-610,-68,2026-05-03T23:57:12.977Z,2026-05-03 19:57:12.977,102629,50
1.440,1.014602733,-0.033244110,-0.012349527,-0.023670957,-0.057144095,0.466084141,-0.493914135,-0.596451673,-0.168070451,-0.462777289,-561,-156,2026-05-03T23:57:13.017Z,2026-05-03 19:57:13.017,102629,51
1.480,1.018924994,-0.043596273,0.022337413,-0.061260509,-0.072698005,0.530647448,-0.532218172,-0.412699179,-0.341534612,-0.565761936,-346,-268,2026-05-03T23:57:13.057Z,2026-05-03 19:57:13.057,102629,52
1.520,1.009824224,0.006764848,0.034232172,-0.085687507,-0.076795081,0.394705691,-0.345876997,-0.349687230,-0.454257661,-0.592889254,-274,-300,2026-05-03T23:57:13.097Z,2026-05-03 19:57:13.097,102629,53
1.560,1.005492010,0.048928283,0.065587790,-0.079987628,-0.001825993,0.329993733,-0.189868080,-0.183582263,-0.427954479,-0.096508276,-204,60,2026-05-03T23:57:13.137Z,2026-05-03 19:57:13.137,102629,54
1.600,0.999958634,0.035712794,0.115332113,-0.051752098,0.061302439,0.247339547,-0.238766707,0.079936032,-0.297656236,0.321474042,-15,342,2026-05-03T23:57:13.177Z,2026-05-03 19:57:13.177,102629,55
1.640,0.992680719,0.090654120,0.100590692,0.060993188,0.058339154,0.138626491,-0.035478320,0.001844024,0.222628406,0.301853711,-93,340,2026-05-03T23:57:13.217Z,2026-05-03 19:57:13.217,102629,56
1.680,0.981941576,0.107868828,0.098850834,0.101135293,0.057841955,-0.021788265,0.028217819,-0.007372797,0.407871811,0.298561682,-102,339,2026-05-03T23:57:13.257Z,2026-05-03 19:57:13.257,102629,57
1.720,0.996030686,0.058048341,0.144895749,0.063954145,0.091177607,0.188666252,-0.156122954,0.236548055,0.236292310,0.519281775,108,470,2026-05-03T23:57:13.297Z,2026-05-03 19:57:13.297,102629,58
1.760,0.985565217,0.130259626,0.132187739,0.098614728,0.082007146,0.032339464,0.111066007,0.169227946,0.396240184,0.458562846,50,434,2026-05-03T23:57:13.337Z,2026-05-03 19:57:13.337,102629,59
1.800,0.987745428,0.131798363,0.119008828,0.125462645,0.048047804,0.064906132,0.116759486,0.099413264,0.520135024,0.233713219,24,270,2026-05-03T23:57:13.377Z,2026-05-03 19:57:13.377,102629,60
1.840,0.989707530,0.106262432,0.133764204,0.074999625,0.029588315,0.094214805,0.022273994,0.177579199,0.287263783,0.111490321,132,161,2026-05-03T23:57:13.417Z,2026-05-03 19:57:13.417,102629,61
1.880,0.984425473,0.133419024,0.137796181,0.033808203,0.000568155,0.015314674,0.122756094,0.198938416,0.097178104,-0.080656281,195,7,2026-05-03T23:57:13.457Z,2026-05-03 19:57:13.457,102629,62
1.920,0.978605378,0.164889525,0.132040388,0.003416230,-0.026688843,-0.071622358,0.239200090,0.168447361,-0.043071457,-0.261128740,201,-129,2026-05-03T23:57:13.497Z,2026-05-03 19:57:13.497,102629,63
1.960,0.978893435,0.157765661,0.162118593,-0.034661075,-0.031274283,-0.067319533,0.212841084,0.327785293,-0.218786449,-0.291489585,375,-180,2026-05-03T23:57:13.537Z,2026-05-03 19:57:13.537,102629,64
2.000,0.972195387,0.189983502,0.193277779,-0.063130945,-0.020808199,-0.167370885,0.332050309,0.492849667,-0.350166098,-0.222192155,534,-154,2026-05-03T23:57:13.577Z,2026-05-03 19:57:13.577,102629,65
2.040,0.963525245,0.243185604,0.215144113,-0.052061484,0.002702730,-0.296880165,0.528903398,0.608685581,-0.299083959,-0.066522954,623,-52,2026-05-03T23:57:13.617Z,2026-05-03 19:57:13.617,102629,66
