relative_time_s,lord_ch1_x_g,our_calibrated_to_lord_ch1_x_g,lord_ch3_z_g,our_calibrated_to_lord_ch3_z_g,lord_ch1_x_norm,our_calibrated_ch1_x_norm,lord_ch3_z_norm,our_calibrated_ch3_z_norm,our_x_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
1.080,0.991768394,0.981987590,0.008326970,0.015379420,0.124998732,-0.304278426,-0.020409910,0.017772098,3821,99,2026-05-03T23:57:12.657Z,2026-05-03 19:57:12.657,102629,42
1.120,0.993324964,0.982425577,0.013042117,0.012086861,0.148249832,-0.209936410,0.001349039,-0.004480271,3810,88,2026-05-03T23:57:12.697Z,2026-05-03 19:57:12.697,102629,43
1.160,0.993298063,0.982112818,0.013310289,0.012892363,0.147848004,-0.277304345,0.002586568,0.000963615,3818,88,2026-05-03T23:57:12.737Z,2026-05-03 19:57:12.737,102629,44
1.200,0.992928791,0.982382149,0.013347194,0.013379364,0.142332041,-0.219290731,0.002756873,0.004254956,3811,94,2026-05-03T23:57:12.777Z,2026-05-03 19:57:12.777,102629,45
1.240,0.992256408,0.982476948,0.012973845,0.008609364,0.132288390,-0.198870983,0.001033982,-0.027982524,3809,71,2026-05-03T23:57:12.817Z,2026-05-03 19:57:12.817,102629,46
1.280,0.990284927,0.982407425,0.007187240,0.006427109,0.102839614,-0.213846308,-0.025669410,-0.042731035,3811,59,2026-05-03T23:57:12.857Z,2026-05-03 19:57:12.857,102629,47
1.320,0.992554474,0.982471796,0.008934662,-0.000625834,0.136740720,-0.199980892,-0.017605600,-0.090397512,3810,24,2026-05-03T23:57:12.897Z,2026-05-03 19:57:12.897,102629,48
1.360,1.000323625,0.983044399,0.010944104,-0.008987716,0.252791548,-0.076642582,-0.008332646,-0.146910304,3796,-11,2026-05-03T23:57:12.937Z,2026-05-03 19:57:12.937,102629,49
1.400,1.001374054,0.983281037,-0.012913337,-0.020813398,0.268482220,-0.025670989,-0.118427360,-0.226832776,3791,-68,2026-05-03T23:57:12.977Z,2026-05-03 19:57:12.977,102629,50
1.440,1.014602733,0.983110019,-0.023670957,-0.037689227,0.466084141,-0.062508105,-0.168070451,-0.340886069,3797,-156,2026-05-03T23:57:13.017Z,2026-05-03 19:57:13.017,102629,51
1.480,1.018924994,0.982369911,-0.061260509,-0.057822001,0.530647448,-0.221926781,-0.341534612,-0.476951041,3818,-268,2026-05-03T23:57:13.057Z,2026-05-03 19:57:13.057,102629,52
