relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_mag_raw_g,sensor_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_mag_raw_counts_interp,thingy_mag_z_interp,lord_mag_g,thingy_mag_raw_counts,thingy_ch1_cal_g,thingy_ch2_cal_g,thingy_ch3_cal_g,thingy_mag_axis_calibrated_g,calibration_residual_g
0.0,2026-05-04T22:12:08.507812Z,2026-05-04T22:13:09.931875Z,0.9393112659454346,0.3316755294799805,0.0384021811187267,0.9968896823132016,-0.4714708810587614,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743,0.9968896823132015,3805.116949582496,0.9359344414128902,0.33264293781331605,0.04648798469122506,0.9943770589774203,-0.0025126233357811723
0.0078125,2026-05-04T22:12:08.515625Z,2026-05-04T22:13:09.939687500Z,0.9382333755493164,0.3317065834999084,0.0380946435034275,0.9958726456708706,-0.4795347362611764,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743,0.9958726456708706,3805.116949582496,0.9359344414128902,0.33264293781331605,0.04648798469122506,0.9943770589774203,-0.0014955866934502904
0.015625,2026-05-04T22:12:08.523437Z,2026-05-04T22:13:09.947500Z,0.9389675855636596,0.3313341438770294,0.0380177609622478,0.9964375503695928,-0.4750557337316114,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743,0.9964375503695929,3805.116949582496,0.9359344414128902,0.33264293781331605,0.04648798469122506,0.9943770589774203,-0.00206049139217257
0.0234375,2026-05-04T22:12:08.531250Z,2026-05-04T22:13:09.955312500Z,0.9387488961219788,0.3310393095016479,0.0381100215017795,0.9961369826205768,-0.4774388679331736,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743,0.9961369826205769,3805.116949582496,0.9359344414128902,0.33264293781331605,0.04648798469122506,0.9943770589774203,-0.0017599236431565801
0.03125,2026-05-04T22:12:08.539062Z,2026-05-04T22:13:09.963125Z,0.9396393299102784,0.3310858607292175,0.0377871096134185,0.9969793293453884,-0.4707600898671834,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743,0.9969793293453884,3805.116949582496,0.9359344414128902,0.33264293781331605,0.04648798469122506,0.9943770589774203,-0.002602270367968007
0.0390625,2026-05-04T22:12:08.546875Z,2026-05-04T22:13:09.970937500Z,0.9384520649909972,0.3308531045913696,0.0380792692303657,0.995794198541412,-0.4801567259385094,3805.09375,18.8125,23.4453125,3805.213757769698,-0.5053062161235412,0.995794198541412,3805.212482782471,0.9359668189305065,0.3326187851744607,0.04660443362883493,0.9944049052693225,-0.0013892932720895868
0.046875,2026-05-04T22:12:08.554687Z,2026-05-04T22:13:09.978750Z,0.9391706585884094,0.3311169147491455,0.0393247902393341,0.9966074334028154,-0.4737087693015847,3805.875,17.25,27.15625,3806.020492663049,-0.5034182903440965,0.9966074334028154,3806.010974765977,0.9362366315773087,0.33241751318399887,0.0475748414422511,0.9946375213699284,-0.001969912032886989
0.0546875,2026-05-04T22:12:08.562500Z,2026-05-04T22:13:09.986562500Z,0.9391550421714784,0.3307910263538361,0.0402473993599414,0.9965213241609908,-0.4743915101476499,3806.65625,15.6875,30.8671875,3806.827227556399,-0.5015303645646527,0.9965213241609907,3806.813718398166,0.936506444224111,0.33221624119353715,0.04854524925566717,0.994871143521283,-0.0016501806397076768
0.0625,2026-05-04T22:12:08.570312Z,2026-05-04T22:13:09.994375Z,0.9389207363128662,0.3312565684318542,0.0419080927968025,0.996523633161506,-0.4743732026009569,3807.4375,14.125,34.578125,3807.63396244975,-0.499642438785209,0.996523633161506,3807.62071098997,0.9367762568709134,0.33201496920307544,0.04951565706908323,0.9951057710148111,-0.001417862146694926
0.0703125,2026-05-04T22:12:08.578125Z,2026-05-04T22:13:10.002187500Z,0.9388113617897034,0.330822080373764,0.042538546025753,0.9963029407696474,-0.4761230230284136,3808.21875,12.5625,38.2890625,3808.440697343101,-0.4977545130057643,0.9963029407696474,3808.4319498403725,0.9370460695177157,0.3318136972126137,0.05048606488249929,0.9953414031395579,-0.0009615376300895484
