relative_time_s,sensor_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g
0.0,2026-05-04 22:12:08.507812512+00:00,0.9393112659454346,0.3316755294799805,0.0384021811187267
0.0078125,2026-05-04 22:12:08.515625012+00:00,0.9382333755493164,0.3317065834999084,0.0380946435034275
0.015625,2026-05-04 22:12:08.523437512+00:00,0.9389675855636596,0.3313341438770294,0.0380177609622478
0.0234375,2026-05-04 22:12:08.531250012+00:00,0.9387488961219788,0.3310393095016479,0.0381100215017795
0.03125,2026-05-04 22:12:08.539062512+00:00,0.9396393299102784,0.3310858607292175,0.0377871096134185
0.0390625,2026-05-04 22:12:08.546875012+00:00,0.9384520649909972,0.3308531045913696,0.0380792692303657
0.046875,2026-05-04 22:12:08.554687512+00:00,0.9391706585884094,0.3311169147491455,0.0393247902393341
0.0546875,2026-05-04 22:12:08.562500012+00:00,0.9391550421714784,0.3307910263538361,0.0402473993599414
0.0625,2026-05-04 22:12:08.570312512+00:00,0.9389207363128662,0.3312565684318542,0.0419080927968025
0.0703125,2026-05-04 22:12:08.578125012+00:00,0.9388113617897034,0.330822080373764,0.042538546025753
0.078125,2026-05-04 22:12:08.585937512+00:00,0.9385926723480223,0.3311789631843567,0.0440300963819026
0.0859375,2026-05-04 22:12:08.593750012+00:00,0.9391081929206848,0.3310393095016479,0.0453217476606369
0.09375,2026-05-04 22:12:08.601562512+00:00,0.9384364485740662,0.3309927582740784,0.0464135035872459
0.1015625,2026-05-04 22:12:08.609375012+00:00,0.9390925765037536,0.3307289481163025,0.0481357052922248
0.109375,2026-05-04 22:12:08.617187512+00:00,0.9388269782066344,0.3309462070465088,0.0496426336467266
0.1171875,2026-05-04 22:12:08.625000012+00:00,0.9388894438743592,0.3308996558189392,0.0513033308088779
0.125,2026-05-04 22:12:08.632812512+00:00,0.9384989142417908,0.3309617340564728,0.0532408095896244
0.1328125,2026-05-04 22:12:08.640625012+00:00,0.9387176036834716,0.3311634659767151,0.0553320571780204
0.140625,2026-05-04 22:12:08.648437512+00:00,0.9388425946235656,0.3313651978969574,0.0568389855325222
0.1484375,2026-05-04 22:12:08.656250012+00:00,0.9384364485740662,0.3313186466693878,0.0582382753491401
0.15625,2026-05-04 22:12:08.664062512+00:00,0.9390456676483154,0.3313341438770294,0.0597298294305801
0.1640625,2026-05-04 22:12:08.671875012+00:00,0.937827169895172,0.3311479389667511,0.0603141486644744
0.171875,2026-05-04 22:12:08.679687512+00:00,0.93876451253891,0.3314272463321686,0.0620209723711013
0.1796875,2026-05-04 22:12:08.687500012+00:00,0.9377803206443788,0.3315824270248413,0.063589408993721
0.1875,2026-05-04 22:12:08.695312512+00:00,0.9384676814079284,0.3314583003520966,0.0647119134664535
0.1953125,2026-05-04 22:12:08.703125012+00:00,0.938295841217041,0.3315514028072357,0.0660343244671821
0.203125,2026-05-04 22:12:08.710937512+00:00,0.9382176995277404,0.3313341438770294,0.0666340216994285
0.2109375,2026-05-04 22:12:08.718750012+00:00,0.938295841217041,0.3310703635215759,0.0668954253196716
0.21875,2026-05-04 22:12:08.726562512+00:00,0.9384832978248596,0.3313031196594238,0.0673106014728546
0.2265625,2026-05-04 22:12:08.734375012+00:00,0.938170850276947,0.3311479389667511,0.0672644674777984
0.234375,2026-05-04 22:12:08.742187512+00:00,0.9382646083831788,0.3312565684318542,0.0672644674777984
0.2421875,2026-05-04 22:12:08.750000012+00:00,0.9387957453727722,0.3313341438770294,0.0673567280173301
0.25,2026-05-04 22:12:08.757812512+00:00,0.938420832157135,0.3311169147491455,0.0671260729432106
0.2578125,2026-05-04 22:12:08.765625012+00:00,0.9382333755493164,0.3311634659767151,0.0663418620824813
0.265625,2026-05-04 22:12:08.773437512+00:00,0.9386239051818848,0.3312100172042847,0.0662957280874252
0.2734375,2026-05-04 22:12:08.781250012+00:00,0.938420832157135,0.3308996558189392,0.0653116106986999
0.28125,2026-05-04 22:12:08.789062512+00:00,0.938420832157135,0.3309772312641144,0.0644505098462104
0.2890625,2026-05-04 22:12:08.796875012+00:00,0.9384832978248596,0.331023782491684,0.0630973502993583
0.296875,2026-05-04 22:12:08.804687512+00:00,0.9386863708496094,0.3308531045913696,0.0619748458266258
0.3046875,2026-05-04 22:12:08.812500012+00:00,0.9386082887649536,0.3308531045913696,0.0604217872023582
0.3125,2026-05-04 22:12:08.820312512+00:00,0.9388894438743592,0.3310548365116119,0.059053249657154
0.3203125,2026-05-04 22:12:08.828125012+00:00,0.9383739233016968,0.3308841288089752,0.0574694350361824
0.328125,2026-05-04 22:12:08.835937512+00:00,0.9384989142417908,0.3310858607292175,0.0564391873776912
0.3359375,2026-05-04 22:12:08.843750012+00:00,0.9387332201004028,0.3311634659767151,0.0549168810248374
0.34375,2026-05-04 22:12:08.851562512+00:00,0.9387488961219788,0.3308996558189392,0.0530562885105609
0.3515625,2026-05-04 22:12:08.859375012+00:00,0.93876451253891,0.3309462070465088,0.0508112721145153
0.359375,2026-05-04 22:12:08.867187512+00:00,0.9386863708496094,0.3311944901943207,0.0493812263011932
0.3671875,2026-05-04 22:12:08.875000012+00:00,0.9384989142417908,0.3311789631843567,0.047336108982563
0.375,2026-05-04 22:12:08.882812512+00:00,0.938873827457428,0.3312720656394958,0.0467210412025451
0.3828125,2026-05-04 22:12:08.890625012+00:00,0.9389207363128662,0.3313651978969574,0.0454601421952247
0.390625,2026-05-04 22:12:08.898437512+00:00,0.9391550421714784,0.3313496708869934,0.0442607477307319
0.3984375,2026-05-04 22:12:08.906250012+00:00,0.9381396174430848,0.3313341438770294,0.0424309074878692
0.40625,2026-05-04 22:12:08.914062512+00:00,0.939483106136322,0.3315203487873077,0.0419388487935066
0.4140625,2026-05-04 22:12:08.921875012+00:00,0.9383583068847656,0.3313496708869934,0.040385790169239
0.421875,2026-05-04 22:12:08.929687512+00:00,0.9388425946235656,0.3315979540348053,0.0395861938595771
0.4296875,2026-05-04 22:12:08.937500012+00:00,0.9388894438743592,0.331396222114563,0.0387250930070877
0.4375,2026-05-04 22:12:08.945312512+00:00,0.9391550421714784,0.3312565684318542,0.0388173535466194
0.4453125,2026-05-04 22:12:08.953125012+00:00,0.9388269782066344,0.3311944901943207,0.0382791683077812
0.453125,2026-05-04 22:12:08.960937512+00:00,0.9391862750053406,0.331380695104599,0.0384944416582584
0.4609375,2026-05-04 22:12:08.968750012+00:00,0.9385457634925842,0.3313496708869934,0.0384021811187267
0.46875,2026-05-04 22:12:08.976562512+00:00,0.9387332201004028,0.3315358757972717,0.0387558490037918
0.4765625,2026-05-04 22:12:08.984375012+00:00,0.939123809337616,0.3312255144119263,0.0397553406655788
0.484375,2026-05-04 22:12:08.992187512+00:00,0.9389050602912904,0.3310548365116119,0.0395554415881633
0.4921875,2026-05-04 22:12:09.000000012+00:00,0.9386707544326782,0.3309772312641144,0.0394170507788658
0.5,2026-05-04 22:12:09.007812512+00:00,0.9389832019805908,0.3308841288089752,0.0408624708652496
0.5078125,2026-05-04 22:12:09.015625012+00:00,0.9390925765037536,0.3312100172042847,0.0422617644071579
0.515625,2026-05-04 22:12:09.023437512+00:00,0.9387488961219788,0.3311013877391815,0.0436302982270717
0.5234375,2026-05-04 22:12:09.031250012+00:00,0.938998818397522,0.3313186466693878,0.0449988357722759
0.53125,2026-05-04 22:12:09.039062512+00:00,0.9388425946235656,0.3308841288089752,0.046275109052658
0.5390625,2026-05-04 22:12:09.046875012+00:00,0.9389519691467284,0.3306668996810913,0.0473976209759712
0.546875,2026-05-04 22:12:09.054687512+00:00,0.9393268823623656,0.3307444751262665,0.0493043437600135
0.5546875,2026-05-04 22:12:09.062500012+00:00,0.9386082887649536,0.3311479389667511,0.0502577051520347
0.5625,2026-05-04 22:12:09.070312512+00:00,0.9384832978248596,0.3314272463321686,0.0521029233932495
0.5703125,2026-05-04 22:12:09.078125012+00:00,0.9386863708496094,0.3312565684318542,0.0538866370916366
0.578125,2026-05-04 22:12:09.085937512+00:00,0.9388269782066344,0.3308065533638,0.0555165782570838
0.5859375,2026-05-04 22:12:09.093750012+00:00,0.9383426904678344,0.3307600021362305,0.0569158717989921
0.59375,2026-05-04 22:12:09.101562512+00:00,0.9388894438743592,0.3312875926494598,0.0586842000484466
0.6015625,2026-05-04 22:12:09.109375012+00:00,0.93807715177536,0.3313186466693878,0.0598835945129394
0.609375,2026-05-04 22:12:09.117187512+00:00,0.9387801289558412,0.3312875926494598,0.061436653137207
0.6171875,2026-05-04 22:12:09.125000012+00:00,0.9383739233016968,0.331023782491684,0.062513031065464
0.625,2026-05-04 22:12:09.132812512+00:00,0.9382333755493164,0.3309306800365448,0.0633741319179534
0.6328125,2026-05-04 22:12:09.140625012+00:00,0.9382333755493164,0.3312255144119263,0.0638661906123161
0.640625,2026-05-04 22:12:09.148437512+00:00,0.9387332201004028,0.3312720656394958,0.0655115097761154
0.6484375,2026-05-04 22:12:09.156250012+00:00,0.9384832978248596,0.3312410414218903,0.0664802491664886
0.65625,2026-05-04 22:12:09.164062512+00:00,0.938045859336853,0.3316445052623749,0.0667570307850837
0.6640625,2026-05-04 22:12:09.171875012+00:00,0.9379677772521972,0.3315048515796661,0.0669569298624992
0.671875,2026-05-04 22:12:09.179687512+00:00,0.938061535358429,0.3311634659767151,0.0666340216994285
0.6796875,2026-05-04 22:12:09.187500012+00:00,0.9389207363128662,0.3310858607292175,0.0670491904020309
0.6875,2026-05-04 22:12:09.195312512+00:00,0.938405215740204,0.3311324119567871,0.0663726106286048
0.6953125,2026-05-04 22:12:09.203125012+00:00,0.938045859336853,0.3310858607292175,0.066418744623661
0.703125,2026-05-04 22:12:09.210937512+00:00,0.9379833936691284,0.3311789631843567,0.0657882913947105
0.7109375,2026-05-04 22:12:09.218750012+00:00,0.9389519691467284,0.3312565684318542,0.0655268877744674
0.71875,2026-05-04 22:12:09.226562512+00:00,0.9385301470756532,0.3308841288089752,0.064665786921978
0.7265625,2026-05-04 22:12:09.234375012+00:00,0.9389519691467284,0.3312720656394958,0.0635586529970169
0.734375,2026-05-04 22:12:09.242187512+00:00,0.9385301470756532,0.3310703635215759,0.0623131319880485
0.7421875,2026-05-04 22:12:09.250000012+00:00,0.9385613799095154,0.3308996558189392,0.0612521320581436
0.75,2026-05-04 22:12:09.257812512+00:00,0.9386707544326782,0.3309151828289032,0.0599912330508232
0.7578125,2026-05-04 22:12:09.265625012+00:00,0.9387332201004028,0.3310858607292175,0.0580691322684288
0.765625,2026-05-04 22:12:09.273437512+00:00,0.9382176995277404,0.3308996558189392,0.0565622001886367
0.7734375,2026-05-04 22:12:09.281250012+00:00,0.9385457634925842,0.330822080373764,0.055470447987318
0.78125,2026-05-04 22:12:09.289062512+00:00,0.9390144348144532,0.3310393095016479,0.0539327673614025
0.7890625,2026-05-04 22:12:09.296875012+00:00,0.9383426904678344,0.3314427733421326,0.0526103600859642
0.796875,2026-05-04 22:12:09.304687512+00:00,0.9386707544326782,0.3312255144119263,0.0513340830802917
0.8046875,2026-05-04 22:12:09.312500012+00:00,0.9387332201004028,0.3312565684318542,0.0497195199131965
0.8125,2026-05-04 22:12:09.320312512+00:00,0.9393424987792968,0.3308065533638,0.0475513860583305
0.8203125,2026-05-04 22:12:09.328125012+00:00,0.9390612840652466,0.3308841288089752,0.0461059659719467
0.828125,2026-05-04 22:12:09.335937512+00:00,0.9388113617897034,0.3311479389667511,0.0443530082702636
0.8359375,2026-05-04 22:12:09.343750012+00:00,0.9388113617897034,0.3313186466693878,0.0436764284968376
