relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_mag_raw_g,sensor_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_mag_raw_counts_interp,thingy_mag_z_interp
0.0,2026-05-04T22:12:08.507812Z,2026-05-04T22:13:09.931875Z,0.9393112659454346,0.3316755294799805,0.0384021811187267,0.9968896823132015,-0.4714708810587614,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743
0.0078125,2026-05-04T22:12:08.515625Z,2026-05-04T22:13:09.939687500Z,0.9382333755493164,0.3317065834999084,0.0380946435034275,0.9958726456708706,-0.47953473626117643,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743
0.015625,2026-05-04T22:12:08.523437Z,2026-05-04T22:13:09.947500Z,0.9389675855636596,0.3313341438770294,0.0380177609622478,0.9964375503695929,-0.4750557337316114,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743
0.0234375,2026-05-04T22:12:08.531250Z,2026-05-04T22:13:09.955312500Z,0.9387488961219788,0.3310393095016479,0.0381100215017795,0.9961369826205769,-0.47743886793317364,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743
0.03125,2026-05-04T22:12:08.539062Z,2026-05-04T22:13:09.963125Z,0.9396393299102784,0.3310858607292175,0.0377871096134185,0.9969793293453884,-0.4707600898671834,3805.0,19.0,23.0,3805.116949582496,-0.5055327672170743
0.0390625,2026-05-04T22:12:08.546875Z,2026-05-04T22:13:09.970937500Z,0.9384520649909972,0.3308531045913696,0.0380792692303657,0.995794198541412,-0.48015672593850944,3805.09375,18.8125,23.4453125,3805.213757769698,-0.5053062161235412
0.046875,2026-05-04T22:12:08.554687Z,2026-05-04T22:13:09.978750Z,0.9391706585884094,0.3311169147491455,0.0393247902393341,0.9966074334028154,-0.47370876930158473,3805.875,17.25,27.15625,3806.020492663049,-0.5034182903440965
0.0546875,2026-05-04T22:12:08.562500Z,2026-05-04T22:13:09.986562500Z,0.9391550421714784,0.3307910263538361,0.0402473993599414,0.9965213241609907,-0.47439151014764996,3806.65625,15.6875,30.8671875,3806.8272275563995,-0.5015303645646527
0.0625,2026-05-04T22:12:08.570312Z,2026-05-04T22:13:09.994375Z,0.9389207363128662,0.3312565684318542,0.0419080927968025,0.996523633161506,-0.4743732026009569,3807.4375,14.125,34.578125,3807.63396244975,-0.49964243878520903
0.0703125,2026-05-04T22:12:08.578125Z,2026-05-04T22:13:10.002187500Z,0.9388113617897034,0.330822080373764,0.042538546025753,0.9963029407696474,-0.47612302302841364,3808.21875,12.5625,38.2890625,3808.440697343101,-0.4977545130057643
0.078125,2026-05-04T22:12:08.585937Z,2026-05-04T22:13:10.010000Z,0.9385926723480223,0.3311789631843567,0.0440300963819026,0.9962802615874045,-0.476302841172721,3809.0,11.0,42.0,3809.2474322364515,-0.4958665872263206
0.0859375,2026-05-04T22:12:08.593750Z,2026-05-04T22:13:10.017812500Z,0.9391081929206848,0.3310393095016479,0.0453217476606369,0.9967774492117568,-0.47236075212269263,3810.171875,10.609375,50.0078125,3810.5493771126235,-0.4928197681096571
