relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_dynamic_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_dynamic_mag_z_interp
0.0,2026-05-04T22:12:08.507812Z,2026-05-04T22:13:09.931875Z,0.9393112659454346,0.3316755294799805,0.0384021811187267,5.431533915345767,3805.0,19.0,23.0,5.461565242465187
0.0078125,2026-05-04T22:12:08.515625Z,2026-05-04T22:13:09.939687500Z,0.9382333755493164,0.3317065834999084,0.0380946435034275,5.325712276196977,3805.0,19.0,23.0,5.461565242465187
0.015625,2026-05-04T22:12:08.523437Z,2026-05-04T22:13:09.947500Z,0.9389675855636596,0.3313341438770294,0.0380177609622478,5.23888513542754,3805.0,19.0,23.0,5.461565242465187
0.0234375,2026-05-04T22:12:08.531250Z,2026-05-04T22:13:09.955312500Z,0.9387488961219788,0.3310393095016479,0.0381100215017795,5.141680604697242,3805.0,19.0,23.0,5.461565242465187
0.03125,2026-05-04T22:12:08.539062Z,2026-05-04T22:13:09.963125Z,0.9396393299102784,0.3310858607292175,0.0377871096134185,5.058182827396976,3805.0,19.0,23.0,5.461565242465187
0.0390625,2026-05-04T22:12:08.546875Z,2026-05-04T22:13:09.970937500Z,0.9384520649909972,0.3308531045913696,0.0380792692303657,4.9503303914176895,3805.09375,18.8125,23.4453125,5.45009357764947
0.046875,2026-05-04T22:12:08.554687Z,2026-05-04T22:13:09.978750Z,0.9391706585884094,0.3311169147491455,0.0393247902393341,4.866496631759762,3805.875,17.25,27.15625,5.354496370851831
0.0546875,2026-05-04T22:12:08.562500Z,2026-05-04T22:13:09.986562500Z,0.9391550421714784,0.3307910263538361,0.0402473993599414,4.771805691542357,3806.65625,15.6875,30.8671875,5.258899164054193
0.0625,2026-05-04T22:12:08.570312Z,2026-05-04T22:13:09.994375Z,0.9389207363128662,0.3312565684318542,0.0419080927968025,4.67822433812292,3807.4375,14.125,34.578125,5.163301957256555
0.0703125,2026-05-04T22:12:08.578125Z,2026-05-04T22:13:10.002187500Z,0.9388113617897034,0.330822080373764,0.042538546025753,4.581955252558932,3808.21875,12.5625,38.2890625,5.067704750458915
