sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
2026-05-04T22:12:00.010Z,2026-05-04 18:12:00.010,122630,9,3815,-1,42
2026-05-04T22:12:00.050Z,2026-05-04 18:12:00.050,122630,10,3817,-8,54
2026-05-04T22:12:00.090Z,2026-05-04 18:12:00.090,122630,11,3802,24,51
2026-05-04T22:12:00.130Z,2026-05-04 18:12:00.130,122630,12,3811,10,59
2026-05-04T22:12:00.170Z,2026-05-04 18:12:00.170,122630,13,3812,7,41
2026-05-04T22:12:00.210Z,2026-05-04 18:12:00.210,122630,14,3817,6,37
2026-05-04T22:12:00.250Z,2026-05-04 18:12:00.250,122630,15,3806,6,47
2026-05-04T22:12:00.290Z,2026-05-04 18:12:00.290,122630,16,3811,-3,44
2026-05-04T22:12:00.330Z,2026-05-04 18:12:00.330,122630,17,3814,4,47
2026-05-04T22:12:00.370Z,2026-05-04 18:12:00.370,122630,18,3795,1,55
2026-05-04T22:12:00.410Z,2026-05-04 18:12:00.410,122630,19,3823,-1,48
2026-05-04T22:12:00.450Z,2026-05-04 18:12:00.450,122630,20,3817,3,47
2026-05-04T22:12:00.490Z,2026-05-04 18:12:00.490,122630,21,3813,-2,47
2026-05-04T22:12:00.530Z,2026-05-04 18:12:00.530,122630,22,3797,12,57
2026-05-04T22:12:00.570Z,2026-05-04 18:12:00.570,122630,23,3808,10,45
2026-05-04T22:12:00.610Z,2026-05-04 18:12:00.610,122630,24,3812,8,50
2026-05-04T22:12:00.650Z,2026-05-04 18:12:00.650,122630,25,3821,8,45
2026-05-04T22:12:00.690Z,2026-05-04 18:12:00.690,122630,26,3810,2,50
2026-05-04T22:12:00.730Z,2026-05-04 18:12:00.730,122630,27,3805,1,37
2026-05-04T22:12:00.770Z,2026-05-04 18:12:00.770,122630,28,3808,11,35
2026-05-04T22:12:00.810Z,2026-05-04 18:12:00.810,122630,29,3816,-2,53
2026-05-04T22:12:00.850Z,2026-05-04 18:12:00.850,122630,30,3814,4,42
2026-05-04T22:12:00.890Z,2026-05-04 18:12:00.890,122630,31,3806,9,47
2026-05-04T22:12:00.930Z,2026-05-04 18:12:00.930,122630,32,3821,10,50
2026-05-04T22:12:00.970Z,2026-05-04 18:12:00.970,122630,33,3812,18,40
2026-05-04T22:12:01.010Z,2026-05-04 18:12:01.010,122630,34,3812,1,38
2026-05-04T22:12:01.050Z,2026-05-04 18:12:01.050,122630,35,3803,8,53
2026-05-04T22:12:01.090Z,2026-05-04 18:12:01.090,122630,36,3821,14,44
2026-05-04T22:12:01.130Z,2026-05-04 18:12:01.130,122630,37,3809,17,48
2026-05-04T22:12:01.170Z,2026-05-04 18:12:01.170,122630,38,3813,5,40
2026-05-04T22:12:01.210Z,2026-05-04 18:12:01.210,122630,39,3807,4,44
2026-05-04T22:12:01.250Z,2026-05-04 18:12:01.250,122630,40,3823,13,45
2026-05-04T22:12:01.290Z,2026-05-04 18:12:01.290,122630,41,3801,13,43
2026-05-04T22:12:01.330Z,2026-05-04 18:12:01.330,122630,42,3823,13,50
2026-05-04T22:12:01.370Z,2026-05-04 18:12:01.370,122630,43,3816,22,45
2026-05-04T22:12:01.410Z,2026-05-04 18:12:01.410,122630,44,3808,4,57
2026-05-04T22:12:01.450Z,2026-05-04 18:12:01.450,122630,45,3818,11,52
2026-05-04T22:12:01.490Z,2026-05-04 18:12:01.490,122630,46,3808,-2,40
2026-05-04T22:12:01.530Z,2026-05-04 18:12:01.530,122630,47,3811,0,22
2026-05-04T22:12:01.570Z,2026-05-04 18:12:01.570,122630,48,3828,12,41
2026-05-04T22:12:01.610Z,2026-05-04 18:12:01.610,122630,49,3827,-6,51
2026-05-04T22:12:01.650Z,2026-05-04 18:12:01.650,122630,50,3813,6,43
2026-05-04T22:12:01.690Z,2026-05-04 18:12:01.690,122630,51,3825,7,35
2026-05-04T22:12:01.730Z,2026-05-04 18:12:01.730,122630,52,3821,22,32
2026-05-04T22:12:01.770Z,2026-05-04 18:12:01.770,122630,53,3824,9,40
2026-05-04T22:12:01.810Z,2026-05-04 18:12:01.810,122630,54,3816,10,45
2026-05-04T22:12:01.850Z,2026-05-04 18:12:01.850,122630,55,3814,7,41
2026-05-04T22:12:01.890Z,2026-05-04 18:12:01.890,122630,56,3817,3,43
2026-05-04T22:12:01.930Z,2026-05-04 18:12:01.930,122630,57,3811,-4,36
2026-05-04T22:12:01.970Z,2026-05-04 18:12:01.970,122630,58,3806,7,44
2026-05-04T22:12:02.010Z,2026-05-04 18:12:02.010,122630,59,3817,9,51
2026-05-04T22:12:02.050Z,2026-05-04 18:12:02.050,122630,60,3808,10,49
2026-05-04T22:12:02.090Z,2026-05-04 18:12:02.090,122630,61,3810,3,54
2026-05-04T22:12:02.130Z,2026-05-04 18:12:02.130,122630,62,3820,6,46
2026-05-04T22:12:02.170Z,2026-05-04 18:12:02.170,122630,63,3816,-3,52
2026-05-04T22:12:02.210Z,2026-05-04 18:12:02.210,122630,64,3800,7,55
2026-05-04T22:12:02.250Z,2026-05-04 18:12:02.250,122630,65,3802,18,50
2026-05-04T22:12:02.290Z,2026-05-04 18:12:02.290,122630,66,3812,10,57
2026-05-04T22:12:02.330Z,2026-05-04 18:12:02.330,122630,67,3819,5,55
2026-05-04T22:12:02.370Z,2026-05-04 18:12:02.370,122630,68,3808,-2,38
2026-05-04T22:12:02.410Z,2026-05-04 18:12:02.410,122630,69,3806,21,41
2026-05-04T22:12:02.450Z,2026-05-04 18:12:02.450,122630,70,3814,13,42
2026-05-04T22:12:02.490Z,2026-05-04 18:12:02.490,122630,71,3807,14,38
