relative_time_s,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch,x_raw,y_raw,z_raw
2.560,2026-05-03T23:57:14.137Z,2026-05-03 19:57:14.137,102629,79,3723,1397,204
2.600,2026-05-03T23:57:14.177Z,2026-05-03 19:57:14.177,102629,80,4285,896,126
2.640,2026-05-03T23:57:14.217Z,2026-05-03 19:57:14.217,102629,81,3695,-3093,3035
2.680,2026-05-03T23:57:14.257Z,2026-05-03 19:57:14.257,102629,82,3704,174,-531
2.720,2026-05-03T23:57:14.297Z,2026-05-03 19:57:14.297,102629,83,3625,-1948,-730
2.760,2026-05-03T23:57:14.337Z,2026-05-03 19:57:14.337,102629,84,3631,-884,332
2.800,2026-05-03T23:57:14.377Z,2026-05-03 19:57:14.377,102629,85,3501,-1030,-1225
2.840,2026-05-03T23:57:14.417Z,2026-05-03 19:57:14.417,102629,86,3710,-1353,-1692
2.880,2026-05-03T23:57:14.457Z,2026-05-03 19:57:14.457,102629,87,3557,-526,-1992
2.920,2026-05-03T23:57:14.497Z,2026-05-03 19:57:14.497,102629,88,3673,-1356,-923
2.960,2026-05-03T23:57:14.537Z,2026-05-03 19:57:14.537,102629,89,3692,-1075,-650
3.000,2026-05-03T23:57:14.577Z,2026-05-03 19:57:14.577,102629,90,3680,-925,106
3.040,2026-05-03T23:57:14.617Z,2026-05-03 19:57:14.617,102629,91,3771,-1451,581
3.080,2026-05-03T23:57:14.657Z,2026-05-03 19:57:14.657,102629,92,3775,-697,327
3.120,2026-05-03T23:57:14.697Z,2026-05-03 19:57:14.697,102629,93,3729,-1557,914
3.160,2026-05-03T23:57:14.737Z,2026-05-03 19:57:14.737,102629,94,3719,-779,609
3.200,2026-05-03T23:57:14.777Z,2026-05-03 19:57:14.777,102629,95,3738,-1483,891
3.240,2026-05-03T23:57:14.817Z,2026-05-03 19:57:14.817,102629,96,3691,-847,-19
3.280,2026-05-03T23:57:14.857Z,2026-05-03 19:57:14.857,102629,97,3713,-1374,188
3.320,2026-05-03T23:57:14.897Z,2026-05-03 19:57:14.897,102629,98,3625,-918,-478
3.360,2026-05-03T23:57:14.937Z,2026-05-03 19:57:14.937,102629,99,3633,-1286,-741
3.400,2026-05-03T23:57:14.977Z,2026-05-03 19:57:14.977,102629,100,3587,-860,-1060
3.440,2026-05-03T23:57:15.017Z,2026-05-03 19:57:15.017,102630,1,3941,-33,-968
3.480,2026-05-03T23:57:15.057Z,2026-05-03 19:57:15.057,102630,2,4108,2364,-1554
3.520,2026-05-03T23:57:15.097Z,2026-05-03 19:57:15.097,102630,3,3549,827,-850
3.560,2026-05-03T23:57:15.137Z,2026-05-03 19:57:15.137,102630,4,3830,1895,-240
3.600,2026-05-03T23:57:15.177Z,2026-05-03 19:57:15.177,102630,5,3882,1297,1065
3.640,2026-05-03T23:57:15.217Z,2026-05-03 19:57:15.217,102630,6,3825,1189,948
3.680,2026-05-03T23:57:15.257Z,2026-05-03 19:57:15.257,102630,7,3835,1502,703
3.720,2026-05-03T23:57:15.297Z,2026-05-03 19:57:15.297,102630,8,3768,990,1358
3.760,2026-05-03T23:57:15.337Z,2026-05-03 19:57:15.337,102630,9,3918,1640,1101
3.800,2026-05-03T23:57:15.377Z,2026-05-03 19:57:15.377,102630,10,3703,807,1441
3.840,2026-05-03T23:57:15.417Z,2026-05-03 19:57:15.417,102630,11,3867,1387,1040
3.880,2026-05-03T23:57:15.457Z,2026-05-03 19:57:15.457,102630,12,3984,1216,1087
3.920,2026-05-03T23:57:15.497Z,2026-05-03 19:57:15.497,102630,13,3961,-713,1627
3.960,2026-05-03T23:57:15.537Z,2026-05-03 19:57:15.537,102630,14,3798,-1716,2138
4.000,2026-05-03T23:57:15.577Z,2026-05-03 19:57:15.577,102630,15,3841,-1122,1101
4.040,2026-05-03T23:57:15.617Z,2026-05-03 19:57:15.617,102630,16,3638,-1362,-1390
4.080,2026-05-03T23:57:15.657Z,2026-05-03 19:57:15.657,102630,17,3580,-648,-2389
4.120,2026-05-03T23:57:15.697Z,2026-05-03 19:57:15.697,102630,18,3584,-1366,-2385
4.160,2026-05-03T23:57:15.737Z,2026-05-03 19:57:15.737,102630,19,3569,-860,-2350
4.200,2026-05-03T23:57:15.777Z,2026-05-03 19:57:15.777,102630,20,3643,-1134,-1776
4.240,2026-05-03T23:57:15.817Z,2026-05-03 19:57:15.817,102630,21,3670,-1029,-489
4.280,2026-05-03T23:57:15.857Z,2026-05-03 19:57:15.857,102630,22,3754,-1334,1264
4.320,2026-05-03T23:57:15.897Z,2026-05-03 19:57:15.897,102630,23,3812,-1140,1687
